cutoff,9,,,,,,,,,,,,,,,,,
Database,TandemPV,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, domestic, EP2050",,,,,,,,,,,,,,,,,
"methanol production facility, construction",12.45682789,RER,unit,,technosphere,"methanol production facility, construction",LPG,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"methanol synthesis, hydrogen from electrolysis, CO2 from DAC, EP2050",,,,,,,,,,,,,,,,,
production amount,1,,,,,,,,,,,,,,,,,
reference product,"methanol, unpurified",,,,,,,,,,,,,,,,,
type,process,,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,
location,CH,,,,,,,,,,,,,,,,,
comment,"Adapted from Comparative well-to-wheel life cycle assessment of
OME3–5 synfuel production via the power-to-liquid
pathway, Hank et al. 2019",,,,,,,,,,,,,,,,,
source,"Comparative well-to-wheel life cycle assessment of OME3–5 synfuel production via the power-to-liquid pathway. Christoph Hank, Lukas Lazar, Franz Mantei, Mohamed Ouda, Robin J. White, Tom Smolinka, Achim Schaadt, Christopher Hebling and Hans-Martin Henning. 2019. https://doi.org/10.1039/C9SE00658C",,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,database,,,,,,,,,,,
"methanol production facility, construction",12.89,RER,unit,,technosphere,"methanol production facility, construction",Car db,,,,,,,,,,,
"methanol synthesis, hydrogen from electrolysis, CO2 from DAC, EP2050",1,CH,kilogram,,production,"methanol, unpurified",Car db,,,,,,,,,,,
market for tap water,68.81959911,Europe without Switzerland,kilogram,,technosphere,tap water,ecoinvent,,,,,,,,,,,
"market for electricity, low voltage",0.302895323,CH,kilowatt hour,,technosphere,"electricity, low voltage",ecoinvent,,,,,,,,,,,
market for zinc oxide,7.93E-06,GLO,kilogram,,technosphere,zinc oxide,ecoinvent,,,,,,,,,,,
market for copper oxide,2.11E-05,GLO,kilogram,,technosphere,copper oxide,ecoinvent,,,,,,,,,,,
"market for aluminium oxide, metallurgical",3.96E-06,"IAI Area, EU27 & EFTA",kilogram,,technosphere,"aluminium oxide, metallurgical",ecoinvent,,,,,,,,,,,
"hydrogen production, gaseous, 25 bar, from electrolysis",0.138975501,RER,kilogram,,technosphere,"Hydrogen, gaseous, 25 bar",Car db,,,,,,,,,,,
"carbon dioxide, captured from atmosphere",1.690423163,RER,kilogram,,technosphere,"carbon dioxide, captured from the atmosphere",Car db,,,,,,,,,,,
"treatment of wastewater, average, capacity 1E9l/year",-0.068819599,Europe without Switzerland,cubic meter,,technosphere,"wastewater, average",ecoinvent,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, EP2050",,,,,,,,,,,,,,,,,
production amount,1,,,,,,,,,,,,,,,,,
reference product,"gasoline, synthetic",,,,,,,,,,,,,,,,,
type,process,,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,
location,CH,,,,,,,,,,,,,,,,,
comment,"CO2 emission factor: 3.14 kg/kg fuel. Co-product of Methanol-to-Gasoline process. Methanol from hydrogen and CO. CO from direct air capture. Co-produced together with diesel, LPG and kerosene, but optimized for gasoline production. Allocation key for gasoline: 47%. Carbon balance correction applied.",,,,,,,,,,,,,,,,,
source,https://www.fvv-net.de/fileadmin/user_upload/medien/materialien/FVV-Kraftstoffstudie_LBST_2013-10-30.pdf,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,location,unit,categories,type,database,reference product,comment,,,,,,,,,,
"gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, EP2050",1,CH,kilogram,,production,Methanol-based fuels,"gasoline, synthetic",,,,,,,,,,,
"methanol distillation, hydrogen from electrolysis, CO2 from DAC, EP2050",2.371,CH,kilogram,,technosphere,Methanol-based fuels,"methanol, purified",,,,,,,,,,,
"Carbon dioxide, non-fossil",0.11,,kilogram,air,biosphere,biosphere3,,"To close the carbon balance, as there is 1.55 kg of CO2 per kg of methanol.",,,,,,,,,,
"market for electricity, low voltage",0.0436264,CH,kilowatt hour,,technosphere,ecoinvent,"electricity, low voltage",,,,,,,,,,,
"hydrogen production, gaseous, 25 bar, from electrolysis",0.02371,RER,kilogram,,technosphere,ecoinvent,"Hydrogen, gaseous, 25 bar","hydrogen, 4kg per ton of methanol processed",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, at fuelling station, EP2050",,,,,,,,,,,,,,,,,
location,CH,,,,,,,,,,,,,,,,,
production amount,1,,,,,,,,,,,,,,,,,
reference product,"gasoline, synthetic, vehicle grade",,,,,,,,,,,,,,,,,
